Degre,Sinus,Cosinus,Tangente
160,0.34202,-0.939693,-0.36397
161,0.325568,-0.945519,-0.344328
162,0.309017,-0.951057,-0.32492
163,0.292372,-0.956305,-0.305731
164,0.275637,-0.961262,-0.286745
165,0.258819,-0.965926,-0.267949
166,0.241922,-0.970296,-0.249328
167,0.224951,-0.97437,-0.230868
168,0.207912,-0.978148,-0.212557
169,0.190809,-0.981627,-0.19438
170,0.173648,-0.984808,-0.176327
171,0.156434,-0.987688,-0.158384
172,0.139173,-0.990268,-0.140541
173,0.121869,-0.992546,-0.122785
174,0.104528,-0.994522,-0.105104
175,0.0871557,-0.996195,-0.0874887
176,0.0697565,-0.997564,-0.0699268
177,0.052336,-0.99863,-0.0524078
178,0.0348995,-0.999391,-0.0349208
179,0.0174524,-0.999848,-0.0174551
180,1.22465e-16,-1,-1.22465e-16
181,-0.0174524,-0.999848,0.0174551
182,-0.0348995,-0.999391,0.0349208
183,-0.052336,-0.99863,0.0524078
184,-0.0697565,-0.997564,0.0699268
185,-0.0871557,-0.996195,0.0874887
186,-0.104528,-0.994522,0.105104
187,-0.121869,-0.992546,0.122785
188,-0.139173,-0.990268,0.140541
189,-0.156434,-0.987688,0.158384
190,-0.173648,-0.984808,0.176327
191,-0.190809,-0.981627,0.19438
192,-0.207912,-0.978148,0.212557
193,-0.224951,-0.97437,0.230868
194,-0.241922,-0.970296,0.249328
195,-0.258819,-0.965926,0.267949
196,-0.275637,-0.961262,0.286745
197,-0.292372,-0.956305,0.305731
198,-0.309017,-0.951057,0.32492
199,-0.325568,-0.945519,0.344328
200,-0.34202,-0.939693,0.36397
201,-0.358368,-0.93358,0.383864
202,-0.374607,-0.927184,0.404026
203,-0.390731,-0.920505,0.424475
204,-0.406737,-0.913545,0.445229
205,-0.422618,-0.906308,0.466308
206,-0.438371,-0.898794,0.487733
207,-0.45399,-0.891007,0.509525
208,-0.469472,-0.882948,0.531709
209,-0.48481,-0.87462,0.554309
210,-0.5,-0.866025,0.57735
211,-0.515038,-0.857167,0.600861
212,-0.529919,-0.848048,0.624869
213,-0.544639,-0.838671,0.649408
214,-0.559193,-0.829038,0.674509
215,-0.573576,-0.819152,0.700208
216,-0.587785,-0.809017,0.726543
217,-0.601815,-0.798636,0.753554
218,-0.615661,-0.788011,0.781286
219,-0.62932,-0.777146,0.809784
220,-0.642788,-0.766044,0.8391
221,-0.656059,-0.75471,0.869287
222,-0.669131,-0.743145,0.900404
223,-0.681998,-0.731354,0.932515
224,-0.694658,-0.71934,0.965689
225,-0.707107,-0.707107,1
226,-0.71934,-0.694658,1.03553
227,-0.731354,-0.681998,1.07237
228,-0.743145,-0.669131,1.11061
229,-0.75471,-0.656059,1.15037
230,-0.766044,-0.642788,1.19175
231,-0.777146,-0.62932,1.2349
232,-0.788011,-0.615661,1.27994
233,-0.798636,-0.601815,1.32704
234,-0.809017,-0.587785,1.37638
235,-0.819152,-0.573576,1.42815
236,-0.829038,-0.559193,1.48256
237,-0.838671,-0.544639,1.53986
238,-0.848048,-0.529919,1.60033
239,-0.857167,-0.515038,1.66428
240,-0.866025,-0.5,1.73205
241,-0.87462,-0.48481,1.80405
242,-0.882948,-0.469472,1.88073
243,-0.891007,-0.45399,1.96261
244,-0.898794,-0.438371,2.0503
245,-0.906308,-0.422618,2.14451
246,-0.913545,-0.406737,2.24604
247,-0.920505,-0.390731,2.35585
248,-0.927184,-0.374607,2.47509
249,-0.93358,-0.358368,2.60509
250,-0.939693,-0.34202,2.74748
251,-0.945519,-0.325568,2.90421
252,-0.951057,-0.309017,3.07768
253,-0.956305,-0.292372,3.27085
254,-0.961262,-0.275637,3.48741
255,-0.965926,-0.258819,3.73205
256,-0.970296,-0.241922,4.01078
257,-0.97437,-0.224951,4.33148
258,-0.978148,-0.207912,4.70463
259,-0.981627,-0.190809,5.14455
260,-0.984808,-0.173648,5.67128
261,-0.987688,-0.156434,6.31375
262,-0.990268,-0.139173,7.11537
263,-0.992546,-0.121869,8.14435
264,-0.994522,-0.104528,9.51436
265,-0.996195,-0.0871557,11.4301
266,-0.997564,-0.0697565,14.3007
267,-0.99863,-0.052336,19.0811
268,-0.999391,-0.0348995,28.6363
269,-0.999848,-0.0174524,57.29
270,-1,-1.83697e-16,5.44375e+15
271,-0.999848,0.0174524,-57.29
272,-0.999391,0.0348995,-28.6363
273,-0.99863,0.052336,-19.0811
274,-0.997564,0.0697565,-14.3007
275,-0.996195,0.0871557,-11.4301
276,-0.994522,0.104528,-9.51436
277,-0.992546,0.121869,-8.14435
278,-0.990268,0.139173,-7.11537
279,-0.987688,0.156434,-6.31375
280,-0.984808,0.173648,-5.67128
281,-0.981627,0.190809,-5.14455
282,-0.978148,0.207912,-4.70463
283,-0.97437,0.224951,-4.33148
284,-0.970296,0.241922,-4.01078
285,-0.965926,0.258819,-3.73205
286,-0.961262,0.275637,-3.48741
287,-0.956305,0.292372,-3.27085
288,-0.951057,0.309017,-3.07768
289,-0.945519,0.325568,-2.90421
290,-0.939693,0.34202,-2.74748
291,-0.93358,0.358368,-2.60509
292,-0.927184,0.374607,-2.47509
293,-0.920505,0.390731,-2.35585
294,-0.913545,0.406737,-2.24604
295,-0.906308,0.422618,-2.14451
296,-0.898794,0.438371,-2.0503
297,-0.891007,0.45399,-1.96261
298,-0.882948,0.469472,-1.88073
299,-0.87462,0.48481,-1.80405
300,-0.866025,0.5,-1.73205
301,-0.857167,0.515038,-1.66428
302,-0.848048,0.529919,-1.60033
303,-0.838671,0.544639,-1.53986
304,-0.829038,0.559193,-1.48256
305,-0.819152,0.573576,-1.42815
306,-0.809017,0.587785,-1.37638
307,-0.798636,0.601815,-1.32704
308,-0.788011,0.615661,-1.27994
309,-0.777146,0.62932,-1.2349
310,-0.766044,0.642788,-1.19175
311,-0.75471,0.656059,-1.15037
312,-0.743145,0.669131,-1.11061
313,-0.731354,0.681998,-1.07237
314,-0.71934,0.694658,-1.03553
315,-0.707107,0.707107,-1
316,-0.694658,0.71934,-0.965689
317,-0.681998,0.731354,-0.932515
318,-0.669131,0.743145,-0.900404
319,-0.656059,0.75471,-0.869287
320,-0.642788,0.766044,-0.8391
321,-0.62932,0.777146,-0.809784
322,-0.615661,0.788011,-0.781286
323,-0.601815,0.798636,-0.753554
324,-0.587785,0.809017,-0.726543
325,-0.573576,0.819152,-0.700208
326,-0.559193,0.829038,-0.674509
327,-0.544639,0.838671,-0.649408
328,-0.529919,0.848048,-0.624869
329,-0.515038,0.857167,-0.600861
330,-0.5,0.866025,-0.57735
331,-0.48481,0.87462,-0.554309
332,-0.469472,0.882948,-0.531709
333,-0.45399,0.891007,-0.509525
334,-0.438371,0.898794,-0.487733
335,-0.422618,0.906308,-0.466308
336,-0.406737,0.913545,-0.445229
337,-0.390731,0.920505,-0.424475
338,-0.374607,0.927184,-0.404026
339,-0.358368,0.93358,-0.383864
340,-0.34202,0.939693,-0.36397
341,-0.325568,0.945519,-0.344328
342,-0.309017,0.951057,-0.32492
343,-0.292372,0.956305,-0.305731
344,-0.275637,0.961262,-0.286745
345,-0.258819,0.965926,-0.267949
346,-0.241922,0.970296,-0.249328
347,-0.224951,0.97437,-0.230868
348,-0.207912,0.978148,-0.212557
349,-0.190809,0.981627,-0.19438
350,-0.173648,0.984808,-0.176327
351,-0.156434,0.987688,-0.158384
352,-0.139173,0.990268,-0.140541
353,-0.121869,0.992546,-0.122785
354,-0.104528,0.994522,-0.105104
355,-0.0871557,0.996195,-0.0874887
356,-0.0697565,0.997564,-0.0699268
357,-0.052336,0.99863,-0.0524078
358,-0.0348995,0.999391,-0.0349208
359,-0.0174524,0.999848,-0.0174551
360,-2.44929e-16,1,-2.44929e-16
